text,label,language,text_translated,language_translated
$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,en,$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,en
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,en,$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,en
$MDCO: Oppenheimer cuts to Perform,0,en,$MDCO: Oppenheimer cuts to Perform,en
$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0,en,$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,en
$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0,en,$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,en
$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0,en,$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,en
$NCBS: Hovde Group cuts to Market Perform,0,en,$NCBS: Hovde Group cuts to Market Perform,en
$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0,en,$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,en
$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0,en,$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,en
$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,0,en,$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,en
$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,0,af,$TWLO - Twillio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,en
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,0,de,$VCLT $SPLB $IGLB - Guggenheim's Minerd Sees More Gloom Head in Stocks https://t.co/NKYQgy2o3J,de
$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,0,en,$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,en
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,0,en,$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,en
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,0,en,$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,en
2U downgraded to sector weight from overweight at KeyBanc Capital,0,en,2U downgraded to sector weight from overweight at KeyBanc Capital,en
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,0,en,Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,en
AMC Networks price target cut to $35 from $39 at Imperial Capital,0,en,AMC Networks price target cut to $35 from $39 at Imperial Capital,en
American Software downgraded to neutral from buy at B. Riley FBR,0,en,American Software downgraded to neutral from buy at B. Riley FBR,en
Analysts question Silicon Motion's margin outlook,0,en,Analysts question Silicon Motion's margin outlook,en
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,0,en,Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,en
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,0,en,Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,en
AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,0,en,AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,en
AT&T shares sink after MoffettNathanson downgrade,0,en,AT&T shares sink after MoffettNathanson downgrade,en
"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",0,en,"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",en
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,0,en,Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,en
Autodesk downgraded to underweight from neutral at JPMorgan,0,en,Autodesk downgraded to underweight from neutral at JPMorgan,en
BAML warns of profit pressure for Hormel,0,en,BAML warns of profit pressure for Hormel,en
Barclays cools on Molson Coors,0,en,Barclays cools on Molson Coors,en
Becton Dickinson downgraded to outperform from strong buy at Raymond James,0,en,Becton Dickinson downgraded to outperform from strong buy at Raymond James,en
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0,en,Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,en
Berry Petroleum downgraded to market perform from outperform at BMO Capital,0,en,Berry Petroleum downgraded to market perform from outperform at BMO Capital,en
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,0,en,Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,en
Bluebird bio downgraded to in line from outperform at Evercore ISI,0,en,Bluebird bio downgraded to in line from outperform at Evercore ISI,en
Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,0,en,Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,en
Canada Goose downgraded to buy from strong buy at CFRA,0,en,Canada Goose downgraded to buy from strong buy at CFRA,en
Canada Goose stock price target cut to $50 from $65 at CFRA,0,en,Canada Goose stock price target cut to $50 from $65 at CFRA,en
Children's Place downgraded as e-commerce puts margins at risk,0,en,Children's Place downgraded as e-commerce puts margins at risk,en
Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,0,en,Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,en
Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,0,en,Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,en
Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,0,en,Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,en
Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,0,en,Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,en
"Dell, HPE targets trimmed on compute headwinds",0,en,"Dell, HPE targets trimmed on compute headwinds",en
Dish may not be key winner amid Intelsat woes - analyst,0,en,Dish may not be key winner amid Intelsat woes - analyst,en
Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/InJKourtW3,0,en,Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/InJKourtW3,en
Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,0,en,Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,de
Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt,0,en,Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt,en
Dropbox on watch after stinging Spruce Point report,0,en,Dropbox on watch after stinging Spruce Point report,en
"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",0,en,"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",en
Evercore downgrades bluebird bio and Clovis in premarket analyst action,0,en,Evercore downgrades bluebird bio and Clovis in premarket analyst action,en
"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd",0,en,"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd",en
Forescout downgraded to neutral from buy at Monness Crespi Hardt,0,en,Forescout downgraded to neutral from buy at Monness Crespi Hardt,en
FormFactor cut on 'unsustainable' revenue outlook,0,en,FormFactor cut on 'unsustainable' revenue outlook,en
Funko downgraded to hold from buy at Stifel Nicolaus,0,en,Funko downgraded to hold from buy at Stifel Nicolaus,en
Funko stock price target cut to $10 from $25 at Stifel Nicolaus,0,en,Funko stock price target cut to $10 from $25 at Stifel Nicolaus,en
GM stock price target cut to $30 from $32 at Deutsche Bank,0,en,GM stock price target cut to $30 from $32 at Deutsche Bank,en
Grubhub gains a bear on margin view,0,en,Grubhub gains a bear on margin view,en
H&P downgraded at Argus as drilling industry weakness seen persisting,0,en,H&P downgraded at Argus as drilling industry weakness seen persisting,en
Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,0,en,Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,en
Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,0,en,Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,en
Hexo stock price target cut to C$5 from C$6 at MKM Partners,0,en,Hexo stock price target cut to C$5 from C$6 at MKM Partners,en
Home Depot stock price target cut to $237 from $240 at Instinet,0,en,Home Depot stock price target cut to $237 from $240 at Instinet,en
Intelsat downgraded to underweight from neutral at J.P. Morgan,0,en,Intelsat downgraded to underweight from neutral at J.P. Morgan,en
Intelsat lower after Morgan Stanley target cut,0,en,Intelsat lower after Morgan Stanley target cut,en
Jefferies warns on L Brands,0,en,Jefferies warns on L Brands,en
Kohl's stock price target cut to $48 from $52 at Deutsche Bank,0,en,Kohl's stock price target cut to $48 from $52 at Deutsche Bank,en
Kohl's stock price target cut to $50 from $53 at Wedbush,0,en,Kohl's stock price target cut to $50 from $53 at Wedbush,en
L Brands stock price target cut to $16 from $20 at Wedbush,0,en,L Brands stock price target cut to $16 from $20 at Wedbush,en
Lovesac stock price target cut to $28 vs. $33 at Canaccord,0,en,Lovesac stock price target cut to $28 vs. $33 at Canaccord,en
Lyft stock price target cut to $58 from $70 at Deutsche Bank,0,en,Lyft stock price target cut to $58 from $70 at Deutsche Bank,en
Macerich downgraded to underweight from sector weight at KeyBanc Capital,0,en,Macerich downgraded to underweight from sector weight at KeyBanc Capital,en
Marinus Pharma stock price target cut to $6 from $7 at Leerink,0,en,Marinus Pharma stock price target cut to $6 from $7 at Leerink,en
Methanex downgraded at TD Securities on valuation,0,en,Methanex downgraded at TD Securities on valuation,en
Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,0,en,Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,en
Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,0,en,Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,en
Mitek Systems stock price target cut to $11 from $14 at Benchmark,0,en,Mitek Systems stock price target cut to $11 from $14 at Benchmark,en
Napco Security stock price target cut to $30 from $35 at Imperial Capital,0,en,Napco Security stock price target cut to $30 from $35 at Imperial Capital,en
Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,0,en,Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,en
Netflix downgraded to ‘underperform’ at Needham,0,en,Netflix downgraded to ‘underperform’ at Needham,en
Netflix stock falls after Wells Fargo turns bearish,0,en,Netflix stock falls after Wells Fargo turns bearish,en
New Netflix bear steps out,0,en,New Netflix bear steps out,en
"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA",0,en,"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA",en
Norwegian Cruise Line downgraded to strong sell from hold at CFRA,0,en,Norwegian Cruise Line downgraded to strong sell from hold at CFRA,en
Novo Nordisk downgraded by UBS on concerns over drug launch cost,0,en,Novo Nordisk downgraded by UBS on concerns over drug launch cost,en
Oppenheimer cuts estimates on Yum China,0,en,Oppenheimer cuts estimates on Yum China,en
Orbcomm price target lowered to $9 at Canaccord,0,en,Orbcomm price target lowered to $9 at Canaccord,en
O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,0,en,O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,en
Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,0,en,Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,en
PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,0,en,PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,en
Rio Tinto downgraded to neutral from overweight at J.P. Morgan,0,en,Rio Tinto downgraded to neutral from overweight at J.P. Morgan,en
"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production",0,en,"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production",en
Royal Caribbean downgraded to sell from buy at CFRA,0,en,Royal Caribbean downgraded to sell from buy at CFRA,en
Royal Caribbean stock price target cut to $100 from $135 at CFRA,0,en,Royal Caribbean stock price target cut to $100 from $135 at CFRA,en
Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment,0,en,Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment,en
Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now,0,en,Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now,en
Sherwin-Williams cut from Conviction Buy at Goldman on valuation,0,en,Sherwin-Williams cut from Conviction Buy at Goldman on valuation,en
Sirius downgraded on valuation,0,en,Sirius downgraded on valuation,en
Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth https://t.co/jMJ3N4A06T,0,en,Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth https://t.co/jMJ3N4A06T,en
SunTrust latest to trim Nielsen target,0,no,SunTrust last two steps Nielsen target,en
Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,0,en,Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,en
Take-Two downgraded on murky game slate,0,en,Take-Two downgraded on murky game slate,en
Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners,0,en,Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners,en
Target Hospitality downgraded to perform from outperform at Oppenheimer,0,en,Target Hospitality downgraded to perform from outperform at Oppenheimer,en
Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,0,en,Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,en
"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price",0,en,"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price",en
Transocean started at sell with $3 stock price target at Deutsche Bank,0,en,Transocean started at sell with $3 stock price target at Deutsche Bank,en
Ultra Clean downgraded to hold from buy at Stifel Nicolaus,0,en,Ultra Clean downgraded to hold from buy at Stifel Nicolaus,en
Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i… https://t.co/vuNpYwRDSg,0,en,Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i… https://t.co/vuNpYwRDSg,en
Wells Fargo Downgrades Netflix On Spending Concerns,0,en,Wells Fargo Downgrades Netflix On Spending Concerns,en
"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD",0,en,"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD",en
Welltower stock price target cut to $90 from $95 at J.P. Morgan,0,en,Welltower stock price target cut to $90 from $95 at J.P. Morgan,en
WWE stock price target cut to $57 from $79 at Benchmark,0,en,WWE stock price target cut to $57 from $79 at Benchmark,en
$ALTG: Dougherty & Company starts at Buy,1,en,$ALTG: Dougherty & Company starts at Buy,en
$AMD - AMD's Navi shows strong adoption - BofA https://t.co/WnCksfl1gX,1,en,$AMD - AMD's Navi shows strong adoption - BofA https://t.co/WnCksfl1gX,en
$ANCUF: BMO Capital Markets ups to Outperform,1,en,$ANCUF: BMO Capital Markets ups to Outperform,en
$BHE: Lake Street starts at Buy,1,en,$BHE: Lake Street starts at Buy,en
$CNC *S&P Raises Centene Corp. Rtg To BBB- From BB+; Outlk Stable*,1,en,$CNC *S&P Raises Centene Corp. Rtg To BBB- From BB+; Outlk Stable*,en
$DE - Citi gives big boost to Deere PT https://t.co/MfhnyZe593,1,en,$DE - Citi gives big boost to Deere PT https://t.co/MfhnyZe593,en
$EBAY - Guggenheim sees favorable catalysts for eBay https://t.co/1adfDkHeaw,1,en,$EBAY - Guggenheim sees favorable catalysts for eBay https://t.co/1adfDkHeaw,en
$FCX - Freeport upgraded as Credit Suisse sees big buying opportunity https://t.co/d4TGqrNi7Y,1,en,$FCX - Freeport upgraded as Credit Suisse sees big buying opportunity https://t.co/d4TGqrNi7Y,af
$FLXN: BTIG Research starts at Buy https://t.co/MCyfTsXc2N,1,en,$FLXN: BTIG Research starts at Buy https://t.co/MCyfTsXc2N,en
"$FNV - Franco-Nevada will not need more funding despite suspensions, analyst says https://t.co/pyARTEahWH",1,en,"$FNV - Franco-Nevada will not need more funding despite suspensions, analyst says https://t.co/pyARTEahWH",en
$GBT: Cantor Fitzgerald resumes at Overweight,1,en,$GBT: Cantor Fitzgerald resumes at Overweight,en
$GM - Morgan Stanley sees GM doubling in bull case scenario https://t.co/uNK2xzGQuq,1,en,$GM - Morgan Stanley sees GM doubling in bull case scenario https://t.co/uNK2xzGQuq,en
$GOOS: Barclays starts at Overweight,1,en,$GOOS: Barclays starts at Overweight,en
$HAS - Hasbro gains after UBS upgrade https://t.co/taTMaip1uM,1,sv,$HAS - Hasbro won after BHT upgrade https://t.co/taTMap1uM,en
"$JD - New https://t.co/BDnqOJSFq5 bull praises acceleration, margin profile https://t.co/Swtzl0mjnF",1,en,"$JD - New https://t.co/BDnqOJSFq5 bull praises acceleration, margin profile https://t.co/Swtzl0mjnF",en
$JD: Barclays ups to Overweight,1,en,$JD: Barclays ups to Overweight,en
$KHC - JPMorgan constructive on Kraft Heinz https://t.co/Sp4I2ehAVw,1,de,$KHC - JPMorgan constructive on Kraft Heinz https://t.co/Sp4I2ahAVw,de
$KIM: Compass Point ups to Neutral,1,en,$KIM: Compass Point ups to Neutral,en
$LOW - Lowe's racks up another positive rating despite recession risk https://t.co/ekx4f6aqIK,1,en,$LOW - Lowe's racks up another positive rating despite recession risk https://t.co/ekx4f6aqIK,en
$LRCX - Lam target boosted on 'compelling' setup https://t.co/TBgKmZH6pM,1,en,$LRCX - Lam target boosted on 'compelling' setup https://t.co/TBgKmZH6pM,en
$LULU: Barclays starts at Overweight https://t.co/MCyfTsXc2N,1,en,$LULU: Barclays starts at Overweight https://t.co/MCyfTsXc2N,en
"$MU $WDC - Bull sees 2020 upsides for MU, WDC https://t.co/65zGfs82xI",1,en,"$MU $WDC - Bull sees 2020 upsides for MU, WDC https://t.co/65zGfs82xI",en
$NBY Rated buy https://t.co/xWbLXU1yOY,1,en,$NBY Rated buy https://t.co/xWbLXU1yOY,en
$NFLX - SunTrust expecting Netflix to post strong user growth https://t.co/6z62FXsUom,1,en,$NFLX - SunTrust expecting Netflix to post strong user growth https://t.co/6z62FXsUom,en
$NVDA - Nvidia set for gaming tailwinds - BofA https://t.co/l3m78pJzrW,1,en,$NVDA - Nvidia set for gaming tailwinds - BofA https://t.co/l3m78pJzrW,en
$OCN - BTIG sees 'material improvement' to Ocwen book value https://t.co/8MMo05uiM6,1,en,$OCN - BTIG sees 'material improvement' to Ocwen book value https://t.co/8MMo05uiM6,nl
$OYST: Cowen starts at Outperform,1,en,$OYST: Cowen starts at Outperform,en
$RAPT: BMO Capital Markets starts at Outperform,1,en,$RAPT: BMO Capital Markets starts at Outperform,en
$RNG - Evercore starts RingCentral at Outperform https://t.co/rfNcO3sw2k,1,en,$RNG - Evercore starts RingCentral at Outperform https://t.co/rfNcO3sw2k,en
$SBAC $SBAC $AMT - MoffettNathanson boosts SBAC to Buy https://t.co/8k4l0c5x89,1,en,$SBAC $SBAC $AMT - MoffettNathanson boosts SBAC to Buy https://t.co/8k4l0c5x89,en
$SNAP - Loop turns bullish on Snap ad growth https://t.co/TekdZS48et,1,en,$SNAP - Loop turns bullish on Snap ad growth https://t.co/TekdZS48et,en
$STXS: Lake Street starts at Buy,1,en,$STXS: Lake Street starts at Buy,en
$TENB - Cowen sees upside in TENB's Indegy purchase https://t.co/Ve7bTreR7Y,1,en,$TENB - Cowen sees upside in TENB's Indegy purchase https://t.co/Ve7bTreR7Y,en
"$UBER $LYFT - Uber, Lyft can raise prices to profit - Barclays https://t.co/1xx084l36h",1,en,"$UBER $LYFT - Uber, Lyft can raise prices to profit - Barclays https://t.co/1xx084l36h",en
$WABC: Maxim Group ups to Buy,1,en,$WABC: Maxim Group ups to Buy,en
$WRI: Compass Point ups to Buy,1,en,$WRI: Compass Point ups to Buy,en
$ZS - New Zscaler bull sees 'sustainable' growth; shares +4% https://t.co/4fx811IVG5,1,en,$ZS - New Zscaler bull sees 'sustainable' growth; shares +4% https://t.co/4fx811IVG5,en
"Activision, Take-Two charts look 'constructive' as Wells Fargo gets bullish on video game plays: Trader $ATVI $TTWO… https://t.co/1s0WRleA2n",1,en,"Activision, Take-Two charts look 'constructive' as Wells Fargo gets bullish on video game plays: Trader $ATVI $TTWO… https://t.co/1s0WRleA2n",en
Adobe stock price target raised to $315 vs. $290 at Wedbush,1,en,Adobe stock price target raised to $315 vs. $290 at Wedbush,en
Adobe stock price target raised to $318 vs. $310 at Instinet,1,en,Adobe stock price target raised to $318 vs. $310 at Instinet,en
Aegis Capital positive on Netflix usage trend,1,en,Aegis Capital positive on Netflix usage trend,en
"After a 60% drop in 6 months, Bank of America says buy pot stock Canopy",1,en,"After a 60% drop in 6 months, Bank of America says buy pot stock Canopy",en
Akero Therapeutics started at buy with $36 stock price target at Canaccord Genuity,1,en,Akero Therapeutics started at buy with $36 stock price target at Canaccord Genuity,en
Align Technology stock price target raised to $305 from $290 at Stifel Nicolaus,1,en,Align Technology stock price target raised to $305 from $290 at Stifel Nicolaus,en
Allergan upgraded to buy from neutral at UBS,1,en,Allergan upgraded to buy from neutral at UBS,en
Altria stock price target raised to $54 from $50 at Stifel Nicolaus,1,en,Altria stock price target raised to $54 from $50 at Stifel Nicolaus,en
Amneal Pharma price target raised to $6 vs. $4 at SunTrust Robinson Humphrey,1,en,Amneal Pharma price target raised to $6 vs. $4 at SunTrust Robinson Humphrey,en
"An analyst at Loop Capital upgrades $LYFT  to buy from hold, citing higher revenue growth potential.  https://t.co/2blCalNe9P",1,en,"An analyst at Loop Capital upgrades $LYFT  to buy from hold, citing higher revenue growth potential.  https://t.co/2blCalNe9P",en
Analyst: AT&T Is The Top Telecom Pick For 2020,1,en,Analyst: AT&T Is The Top Telecom Pick For 2020,en
Analysts Mostly Bullish On Newly Public Insurance Firm BRP Group,1,en,Analysts Mostly Bullish On Newly Public Insurance Firm BRP Group,en
Analysts See 18% Gains Ahead For The Holdings Of The First Trust Dow Jones Internet Index Fund ETF,1,en,Analysts See 18% Gains Ahead For The Holdings Of The First Trust Dow Jones Internet Index Fund ETF,en
Ansys stock price target raised to $265 from $235 at Benchmark,1,en,Ansys stock price target raised to $265 from $235 at Benchmark,en
Anthem stock price target raised to $330 from $300 at SunTrust RH,1,en,Anthem stock price target raised to $330 from $300 at SunTrust RH,en
Applied Industrial Technologies stock price target raised to $70 from $65 at KeyBanc Capital,1,en,Applied Industrial Technologies stock price target raised to $70 from $65 at KeyBanc Capital,en
arGen-X stock price target raised to $255 vs. $203 at Instinet,1,en,arGen-X stock price target raised to $255 vs. $203 at Instinet,en
Armata Pharmaceuticals started at buy with $8 stock price target at Maxim Group,1,en,Armata Pharmaceuticals started at buy with $8 stock price target at Maxim Group,en
Arrow Electronics stock price target raised to $87 vs. $84 at SunTrust Robinson Humphrey,1,en,Arrow Electronics stock price target raised to $87 vs. $84 at SunTrust Robinson Humphrey,en
"Asset Management One Co. has a bullish call on Treasuries. One for the long, long run https://t.co/8go8ZhMvdc",1,en,"Asset Management One Co. has a bullish call on Treasuries. One for the long, long run https://t.co/8go8ZhMvdc",en
Audentes Therapeutics stock price target raised to $40 from $34 at Evercore ISI,1,en,Audentes Therapeutics stock price target raised to $40 from $34 at Evercore ISI,en
Audentes Therapeutics upgraded to outperform from in line at Evercore ISI,1,en,Audentes Therapeutics upgraded to outperform from in line at Evercore ISI,en
Axcelis Technologies stock price target raised to $32 from $24 at Benchmark,1,en,Axcelis Technologies stock price target raised to $32 from $24 at Benchmark,en
Baird bullish on beat-up Canada Goose,1,en,Baird bullish on beat-up Canada Goose,en
Baird likes drug wholesalers in premarket analyst action,1,en,Baird likes drug wholesalers in premarket analyst action,en
Baird returns to Wingstop bull camp,1,en,Baird returns to Wingstop bull camp,en
Baker Hughes started at buy with $32 stock price target at Deutsche Bank,1,en,Baker Hughes started at buy with $32 stock price target at Deutsche Bank,en
Bank of America stock price target raised to $49 from $48 at Oppenheimer,1,en,Bank of America stock price target raised to $49 from $48 at Oppenheimer,en
Barclays analysts says Uber and Lyft are well-positioned to achieve profitability https://t.co/emLga0CBm1,1,en,Barclays analysts says Uber and Lyft are well-positioned to achieve profitability https://t.co/emLga0CBm1,en
